,Hash Value,Nodes,Edges,Highest-Indegree,Hightes-Outdegree,Highest-Degree,Average Degree,Network diameter,Graph Density,Average Authority Score,Average Hub Score,Average PageRank,Average Closeness Centrality,Average Harmonic Closeness Centrality,Average Eigenvector Centrality,Average betweenness centrality,Modularity score,Average Clustering Coefficient,Average Path Length,Assortativity,No of function calls,No of logical calls,No of Arithmetic instructions,No of transfer instructions,No of move instructions,No of compare instructions,Total No of instructions,No of numeric constants,Class
0,e12405096f83b30b712d200b2fc42ce595e1d1254a631d989714b4fa423ef4c4,25,29,2,2,4,1.16,7,0.048333333,0.04,0.04,0.04,3.358819563,3.358819563,0.097980276,0.124202899,0.619500595,0.073333333,6.180981595,-0.221052632,1,8,0,1,17,2,43,9,Ransom
1,19c918c7fc1714a813824bdf9e95492e53b7df2fe1146e4447170be6ab29a54b,50,65,3,2,5,1.3,13,0.026530612,0.02,0.02,0.02,5.225088594,5.225088594,0.055994862,0.085170068,0.702248521,0.022666667,8.420699926,0.153474147,1,24,0,1,56,1,138,29,Ransom
2,82912f5028c1e1dfb309799eb644e5c4e40d64ff674cdb8004e610a585dab1f3,55,62,2,2,4,1.127272727,14,0.020875421,0.018181818,0.018181818,0.018181818,4.342973583,4.342973583,0.061113862,0.105533321,0.721904266,0.043939394,12.26326531,0.039929785,1,1,0,1,152,3,174,23,Ransom
3,5c702973ae1cf4d32ffe123c59701f54218815c3dcef513889fa56db5861efd2,60,67,2,2,4,1.116666667,24,0.018926554,0.016666667,0.016666667,0.016666667,4.379361254,4.379361254,0.069513102,0.122569647,0.747382491,0.063888889,14.79450549,-0.01436863,1,4,0,1,12,1,29,8,Ransom
4,84e1c9aec8af37a0eef9f5c80f64818edd51c3b9a656fcbd755b4bc06557222c,60,67,2,2,4,1.116666667,24,0.018926554,0.016666667,0.016666667,0.016666667,4.379361254,4.379361254,0.069513102,0.122569647,0.747382491,0.063888889,14.79450549,-0.01436863,1,5,0,1,59,3,77,18,Ransom
5,2b5be925077d9c7683941e2e786ef9dfc440696f42fe910eefa9e8b97d7a374f,64,75,4,2,4,1.171875,16,0.01860119,0.015625,0.015625,0.015625,4.401710923,4.401710923,0.052230774,0.086941564,0.739022222,0.020833333,12.97899392,0.297007889,1,4,0,1,12,1,33,8,Ransom
6,1c5332b18172c1b5eb3e2e25926a4e06f9572835c624f7f86297d431f9520310,81,90,5,2,6,1.111111111,25,0.013888889,0.012345679,0.012345679,0.012345679,4.478953215,4.478953215,0.05702906,0.087619159,0.769382716,0.010288066,17.22798115,0.33204455,1,5,0,1,20,2,29,11,Ransom
7,d9cc54dc35b410cc11ab84e7140228e0da17ac3903121d89ba3d6c16ba9271bd,82,94,3,2,4,1.146341463,24,0.014152364,0.012195122,0.012195122,0.012195122,4.330603723,4.330603723,0.028135895,0.081131436,0.783272974,0,17.12743628,-0.302044594,1,3,0,1,6,2,17,5,Ransom
8,f41d0e00ffe1f8932eda937bb8d32a83c8992c1f596bd3a741c08190925c9e64,87,96,5,2,6,1.103448276,24,0.012830794,0.011494253,0.011494253,0.011494253,4.550936024,4.550936024,0.055389692,0.075146626,0.758789063,0.009578544,16.85904255,0.349634529,1,4,0,1,14,1,24,5,Ransom
9,564bbadaeccdde2d66e348268b88567aedf77bac96000e4f06b65eb56bf6412e,88,101,4,2,4,1.147727273,37,0.013192268,0.011363636,0.011363636,0.011363636,4.648999584,4.648999584,0.045287484,0.088533693,0.772767376,0.024621212,18.63757576,0.281180703,1,3,0,1,6,2,17,5,Ransom
10,921f640010af7f9b911dfa6c9948cf64b2e5a53163068ed59d25add29ed06255,88,101,4,2,4,1.147727273,37,0.013192268,0.011363636,0.011363636,0.011363636,4.648999584,4.648999584,0.045287484,0.088533693,0.772767376,0.024621212,18.63757576,0.281180703,1,1,0,1,3,1,17,7,Ransom
